Sample ID,MYTH score
TCGA-ZF-A9R0-01,0.024731997
TCGA-ZF-A9R1-01,0.021143545
TCGA-ZF-A9R2-01,0.040742358
TCGA-ZF-A9R3-01,0.02729523
TCGA-ZF-A9R4-01,0.045522774
TCGA-ZF-A9R5-01,0.043669302
TCGA-ZF-A9R7-01,0.030011873
TCGA-ZF-A9R9-01,0.090487155
TCGA-ZF-A9RC-01,0.021826836
TCGA-ZF-A9RD-01,0.037822577
TCGA-ZF-A9RE-01,0.036324524
TCGA-ZF-A9RF-01,0.03322817
TCGA-ZF-A9RG-01,0.031032109
TCGA-ZF-A9RL-01,0.040956033
TCGA-ZF-A9RM-01,0.042913398
TCGA-ZF-A9RN-01,0.054362512
TCGA-ZF-AA4N-01,0.040546983
TCGA-ZF-AA4R-01,0.025426934
TCGA-ZF-AA4T-01,0.025934894
TCGA-ZF-AA4U-01,0.043614492
TCGA-ZF-AA4V-01,0.041614906
TCGA-ZF-AA4W-01,0.030557928
TCGA-ZF-AA4X-01,0.038063418
TCGA-ZF-AA51-01,0.033147319
TCGA-ZF-AA52-01,0.023676135
TCGA-ZF-AA53-01,0.024665964
TCGA-ZF-AA54-01,0.032060879
TCGA-ZF-AA56-01,0.015628249
TCGA-ZF-AA58-01,0.029070587
TCGA-ZF-AA5H-01,0.034712159
TCGA-ZF-AA5N-01,0.049421065
TCGA-ZF-AA5P-01,0.022035586
